id,section_id,paragraph_number,content,createdAt,updatedAt,evidence_strength,annexures
1,1,7.1,"I confirm that I provided comprehensive reports to Mr. Bantjies on **6 June 2025**, exposing the fraud involving Villa Via Arcadia No 2 CC. Mr. Bantjies, as the Applicant's accountant and a concealed trustee, had a duty to investigate these claims. Instead, he dismissed my request for an audit.",2025-11-02 15:04:36,2025-11-02 15:04:36,5,
2,1,7.2,"The Applicant's claim that discrepancies were ""noted"" in July is false. I reported them on 6 June 2025. The Applicant's immediate cancellation of 15 business credit cards on **7 June 2025** was a direct act of retaliation and sabotage.",2025-11-02 15:04:36,2025-11-02 15:04:36,5,
3,1,7.3,"The IT expenses were legitimate and necessary for the R34.9 million e-commerce operation I built. The true irregularities, which I reported, were the R5.4 million stock adjustment, the R900,000 unauthorized transfers, and Villa Via's 86% profit extraction.",2025-11-02 15:04:36,2025-11-02 15:04:36,5,
4,1,7.4,"My conduct was professional and transparent. I built a profitable global business. The Applicant's characterization of my conduct as ""erratic"" is a self-serving attempt to justify his retaliatory actions.",2025-11-02 15:04:36,2025-11-02 15:04:36,5,
5,1,7.5.1,"The Applicant's claim that payments were ""unexplained"" is false. I provided comprehensive reports on 6 June 2025.",2025-11-02 15:04:36,2025-11-02 15:04:36,5,
6,1,7.5.2,The card cancellations on 7 June 2025 were a manufactured crisis designed to create the pretext for this application.,2025-11-02 15:04:36,2025-11-02 15:04:36,5,
7,1,7.5.3,"The Applicant's cancellation of his own card was punitive theater, designed to create the illusion of a genuine crisis.",2025-11-02 15:04:36,2025-11-02 15:04:36,5,
8,1,7.6,"The Applicant's claim that transactions remain ""unexplained"" is false. The reports I provided on 6 June 2025 contained all necessary explanations.",2025-11-02 15:04:36,2025-11-02 15:04:36,5,
9,1,7.7,The service interruptions were a direct and foreseeable consequence of the Applicant's own actions.,2025-11-02 15:04:36,2025-11-02 15:04:36,5,
10,1,7.8,"The Applicant's allegation that I ""refused to assist"" is false. I had already provided comprehensive assistance on 6 June 2025.",2025-11-02 15:04:36,2025-11-02 15:04:36,5,
11,1,7.9,The communications in Annexure PF7 demonstrate my professionalism in the face of the Applicant's manufactured crisis.,2025-11-02 15:04:36,2025-11-02 15:04:36,5,
12,1,7.10,The communications with my personal assistant were necessary because the Applicant had created a crisis that required immediate attention.,2025-11-02 15:04:36,2025-11-02 15:04:36,5,
13,1,7.11,"The Applicant's claim that I ""would or could not provide relevant invoices"" is contradicted by the comprehensive reports I provided on 6 June 2025.",2025-11-02 15:04:36,2025-11-02 15:04:36,5,
14,1,7.12,"The interference came from the Applicant and his agents, who systematically sabotaged the business operations.",2025-11-02 15:04:36,2025-11-02 15:04:36,5,
15,1,7.13.1,My email and system access was revoked in retaliation for exposing financial misconduct.,2025-11-02 15:04:36,2025-11-02 15:04:36,5,
16,1,7.13.2,"The selective restoration of access was controlled by Ms. Farrar, who was acting under the Applicant's instructions.",2025-11-02 15:04:36,2025-11-02 15:04:36,5,
17,1,7.14,"The ""continued interference"" was a systematic campaign of sabotage orchestrated by the Applicant's agents.",2025-11-02 15:04:36,2025-11-02 15:04:36,5,
18,1,7.15,"The conduct ""not in the interests of the corporations"" was the Applicant's dismantling of a profitable R34.9 million operation.",2025-11-02 15:04:36,2025-11-02 15:04:36,5,
19,1,7.16.1,The First Respondent's action to obtain duplicate cards was necessary to prevent the total collapse of the business.,2025-11-02 15:04:36,2025-11-02 15:04:36,5,
20,1,7.16.2,The use of personal credit cards to maintain business operations demonstrates the Applicant's bad faith.,2025-11-02 15:04:36,2025-11-02 15:04:36,5,
21,1,7.17.1,The First Respondent defended my professional and transparent conduct.,2025-11-02 15:04:36,2025-11-02 15:04:36,5,
22,1,7.17.2,The Applicant's characterization of the First Respondent's response is a misrepresentation.,2025-11-02 15:04:36,2025-11-02 15:04:36,5,
23,1,7.18.1,"I deny receiving a R500,000 ""birthday gift."" This is a false and unsupported allegation.",2025-11-02 15:04:36,2025-11-02 15:04:36,5,
24,1,7.18.2,The Applicant's reference to the First Respondent's income is irrelevant and designed to undermine her.,2025-11-02 15:04:36,2025-11-02 15:04:36,5,
25,1,7.18.3,"Any transfer would have been a legitimate business transaction, not a personal gift.",2025-11-02 15:04:36,2025-11-02 15:04:36,5,
26,1,7.19,"The Applicant had full visibility of all financial transactions through his agents, Ms. Farrar and Mr. Bantjies.",2025-11-02 15:04:36,2025-11-02 15:04:36,5,
27,1,7.20,"My remuneration included performance-based compensation for managing the R34.9 million e-commerce operation.

---",2025-11-02 15:04:36,2025-11-02 15:04:36,5,
28,2,8.1,The IT expenses were necessary for the R34.9 million global e-commerce operation I built.,2025-11-02 15:04:36,2025-11-02 15:04:36,5,
29,2,8.2,The expense categories are standard for a global e-commerce business.,2025-11-02 15:04:36,2025-11-02 15:04:36,5,
30,2,8.3,The expense amounts are proportional to the revenue generated.,2025-11-02 15:04:36,2025-11-02 15:04:36,5,
31,2,8.4,I discovered and reported the discrepancies to Mr. Bantjies on 6 June 2025.,2025-11-02 15:04:36,2025-11-02 15:04:36,5,
32,2,8.5,The investigation was conducted by the conflicted Mr. Bantjies.,2025-11-02 15:04:36,2025-11-02 15:04:36,5,
33,2,8.6,The IT vendors are legitimate and well-known providers of e-commerce services.,2025-11-02 15:04:36,2025-11-02 15:04:36,5,
34,2,8.7,I provided comprehensive documentation of all IT expenses on 6 June 2025.,2025-11-02 15:04:36,2025-11-02 15:04:36,5,
35,2,8.8,International payments are a standard part of a global e-commerce business.,2025-11-02 15:04:36,2025-11-02 15:04:36,5,
36,2,8.9,The bank messages regarding foreign exchange limits are standard notifications.,2025-11-02 15:04:36,2025-11-02 15:04:36,5,
37,2,8.10,"The true financial irregularities are the R5.4 million stock adjustment, the R900,000 unauthorized transfers, and Villa Via's 86% profit extraction.

---",2025-11-02 15:04:36,2025-11-02 15:04:36,5,
38,3,9.1,The Applicant's summary is an inversion of the facts.,2025-11-02 15:04:36,2025-11-02 15:04:36,5,
39,3,9.2,"The bank message is a standard notification, not evidence of misconduct.",2025-11-02 15:04:36,2025-11-02 15:04:36,5,
40,3,9.3,"The actual misconduct includes the R5.4 million stock adjustment, the R900,000 unauthorized transfers, and Villa Via's 86% profit extraction.",2025-11-02 15:04:36,2025-11-02 15:04:36,5,
41,3,9.4,"The financial impact of the Applicant's misconduct is substantial.

---",2025-11-02 15:04:36,2025-11-02 15:04:36,5,
42,4,10.1,The delinquency application is an abuse of process. My actions were consistent with my fiduciary duties.,2025-11-02 15:04:37,2025-11-02 15:04:37,5,
43,4,10.2,The Applicant has grossly abused his position.,2025-11-02 15:04:37,2025-11-02 15:04:37,5,
44,4,10.3,The Applicant acted in bad faith and for an improper purpose.,2025-11-02 15:04:37,2025-11-02 15:04:37,5,
45,4,10.4,The provisions of the Close Corporations Act apply to the Applicant's own conduct.,2025-11-02 15:04:37,2025-11-02 15:04:37,5,
46,4,10.5,The Applicant's conduct meets the definition of delinquency.,2025-11-02 15:04:37,2025-11-02 15:04:37,5,
47,4,10.6,The Applicant's conduct meets the definition of probation.,2025-11-02 15:04:37,2025-11-02 15:04:37,5,
48,4,10.7,The Applicant and his agents breached their fiduciary duties.,2025-11-02 15:04:37,2025-11-02 15:04:37,5,
49,4,10.7.1.1,The losses were caused by the Applicant's actions.,2025-11-02 15:04:37,2025-11-02 15:04:37,5,
50,4,10.7.1.2,The economic benefits were derived by the Applicant and his agents.,2025-11-02 15:04:37,2025-11-02 15:04:37,5,
51,4,10.8,The R5.4M stock adjustment suggests systematic fraud.,2025-11-02 15:04:37,2025-11-02 15:04:37,5,
52,4,10.9,The mandatory disqualification grounds apply to the Applicant.,2025-11-02 15:04:37,2025-11-02 15:04:37,5,
53,4,10.9.1,Section 162(5)(a) applies to the Applicant.,2025-11-02 15:04:37,2025-11-02 15:04:37,5,
54,4,10.9.2,The intentional harm was inflicted by the Applicant and his co-conspirators.,2025-11-02 15:04:37,2025-11-02 15:04:37,5,
55,4,10.9.3,The Applicant's gross negligence is demonstrated by the card cancellations.,2025-11-02 15:04:37,2025-11-02 15:04:37,5,
56,4,10.9.3.1,The wilful misconduct includes a six-month campaign of sabotage.,2025-11-02 15:04:37,2025-11-02 15:04:37,5,
57,4,10.9.3.2,The acquiescence to fraud includes two years of unallocated expenses.,2025-11-02 15:04:37,2025-11-02 15:04:37,5,
58,4,10.9.3.3,The omissions with fraudulent purpose include material non-disclosures.,2025-11-02 15:04:37,2025-11-02 15:04:37,5,
59,4,10.10,The oppressive conduct includes punishing me for exposing fraud.,2025-11-02 15:04:37,2025-11-02 15:04:37,5,
60,4,10.10.1,The conduct inconsistent with duties includes a trustee attacking a beneficiary.,2025-11-02 15:04:37,2025-11-02 15:04:37,5,
61,4,10.10.2,The grounds for probation apply to the Applicant.,2025-11-02 15:04:37,2025-11-02 15:04:37,5,
62,4,10.10.2.1,The prejudicial results include my exclusion from the business I built.,2025-11-02 15:04:37,2025-11-02 15:04:37,5,
63,4,10.10.2.2,The oppressive business conduct includes the control of systems by Ms. Farrar.,2025-11-02 15:04:37,2025-11-02 15:04:37,5,
64,4,10.10.2.3,The oppressive exercise of powers includes the abuse of trustee powers.,2025-11-02 15:04:37,2025-11-02 15:04:37,5,
65,4,10.11,"The appropriate remedy is a full, independent forensic audit.",2025-11-02 15:04:37,2025-11-02 15:04:37,5,
66,4,10.12,The Court's discretion should be exercised against the Applicant.,2025-11-02 15:04:37,2025-11-02 15:04:37,5,
67,4,10.13,"The unaccounted money includes the R900,000 unauthorized transfers and the R5.4 million stock loss.

---",2025-11-02 15:04:37,2025-11-02 15:04:37,5,
68,5,11.1,"I built and funded the UK e-commerce operations through my company, RegimA Zone Ltd.",2025-11-02 15:04:37,2025-11-02 15:04:37,5,
69,5,11.2,"RegimA Zone Ltd is an independent entity, not under RegimA UK Ltd.",2025-11-02 15:04:37,2025-11-02 15:04:37,5,
70,5,11.3,I have operational control and funding of RegimA Zone Ltd.,2025-11-02 15:04:37,2025-11-02 15:04:37,5,
71,5,11.4,The Applicant had no operational involvement in the UK e-commerce operations.,2025-11-02 15:04:37,2025-11-02 15:04:37,5,
72,5,11.5,I built and own RegimA Zone Ltd independently.,2025-11-02 15:04:37,2025-11-02 15:04:37,5,
73,5,11.6,UK bank records show that RegimA Zone Ltd continuously paid for the South African Shopify platforms.,2025-11-02 15:04:37,2025-11-02 15:04:37,5,
74,5,11.7,The reference to Isaac Chesno is irrelevant.,2025-11-02 15:04:37,2025-11-02 15:04:37,5,
75,5,11.8,The Applicant's fear of non-payment is contradicted by bank records.,2025-11-02 15:04:37,2025-11-02 15:04:37,5,
76,5,11.9,"The Applicant's claim of no financial knowledge is inconsistent with his trustee powers.

---",2025-11-02 15:04:37,2025-11-02 15:04:37,5,
